any;municipi;sexe;concepte;estat;valor
1998;Camarles;homes;població;;1463
1998;Camarles;dones;població;;1481
1998;Camarles;total;població;;2944
1998;Cambrils;homes;població;;9114
1998;Cambrils;dones;població;;9271
1998;Cambrils;total;població;;18385
1998;Camós;homes;població;;314
1998;Camós;dones;població;;304
1998;Camós;total;població;;618
1998;Campdevànol;homes;població;;1636
1998;Campdevànol;dones;població;;1706
1998;Campdevànol;total;població;;3342
1998;Campelles;homes;població;;63
1998;Campelles;dones;població;;60
1998;Campelles;total;població;;123
1998;Campins;homes;població;;129
1998;Campins;dones;població;;133
1998;Campins;total;població;;262
1998;Campllong;homes;població;;147
1998;Campllong;dones;població;;146
1998;Campllong;total;població;;293
1998;Camprodon;homes;població;;1169
1998;Camprodon;dones;població;;1175
1998;Camprodon;total;població;;2344
1998;Canejan;homes;població;;53
1998;Canejan;dones;població;;47
1998;Canejan;total;població;;100
1998;Canet d'Adri;homes;població;;266
1998;Canet d'Adri;dones;població;;253
1998;Canet d'Adri;total;població;;519
1998;Canet de Mar;homes;població;;4708
1998;Canet de Mar;dones;població;;4905
1998;Canet de Mar;total;població;;9613
1998;Canonja, la;homes;població;..;null
1998;Canonja, la;dones;població;..;null
1998;Canonja, la;total;població;..;null
1998;Canovelles;homes;població;;6599
1998;Canovelles;dones;població;;6507
1998;Canovelles;total;població;;13106
1998;Cànoves i Samalús;homes;població;;843
1998;Cànoves i Samalús;dones;població;;816
1998;Cànoves i Samalús;total;població;;1659
1998;Cantallops;homes;població;;129
1998;Cantallops;dones;població;;128
1998;Cantallops;total;població;;257
1998;Canyelles;homes;població;;810
1998;Canyelles;dones;població;;724
1998;Canyelles;total;població;;1534
1998;Capafonts;homes;població;;61
1998;Capafonts;dones;població;;57
1998;Capafonts;total;població;;118
1998;Capçanes;homes;població;;190
1998;Capçanes;dones;població;;221
1998;Capçanes;total;població;;411
1998;Capellades;homes;població;;2425
1998;Capellades;dones;població;;2549
1998;Capellades;total;població;;4974
1998;Capmany;homes;població;;200
1998;Capmany;dones;població;;197
1998;Capmany;total;població;;397
1998;Capolat;homes;població;;41
1998;Capolat;dones;població;;27
1998;Capolat;total;població;;68
1998;Cardedeu;homes;població;;5630
1998;Cardedeu;dones;població;;5687
1998;Cardedeu;total;població;;11317
1998;Cardona;homes;població;;2775
1998;Cardona;dones;població;;2945
1998;Cardona;total;població;;5720
1998;Carme;homes;població;;349
1998;Carme;dones;població;;328
1998;Carme;total;població;;677
1998;Caseres;homes;població;;160
1998;Caseres;dones;població;;166
1998;Caseres;total;població;;326
1998;Cassà de la Selva;homes;població;;3693
1998;Cassà de la Selva;dones;població;;3752
1998;Cassà de la Selva;total;població;;7445
1998;Casserres;homes;població;;783
1998;Casserres;dones;població;;845
1998;Casserres;total;població;;1628
1998;Castell d'Aro, Platja d'Aro i s'Agaró;homes;població;;2925
1998;Castell d'Aro, Platja d'Aro i s'Agaró;dones;població;;2860
1998;Castell d'Aro, Platja d'Aro i s'Agaró;total;població;;5785
1998;Castell de l'Areny;homes;població;;30
1998;Castell de l'Areny;dones;població;;18
1998;Castell de l'Areny;total;població;;48
1998;Castell de Mur;homes;població;;79
1998;Castell de Mur;dones;població;;70
1998;Castell de Mur;total;població;;149
1998;Castellar de la Ribera;homes;població;;67
1998;Castellar de la Ribera;dones;població;;82
1998;Castellar de la Ribera;total;població;;149
1998;Castellar de n'Hug;homes;població;;87
1998;Castellar de n'Hug;dones;població;;88
1998;Castellar de n'Hug;total;població;;175
1998;Castellar del Riu;homes;població;;55
1998;Castellar del Riu;dones;població;;43
1998;Castellar del Riu;total;població;;98
1998;Castellar del Vallès;homes;població;;8106
1998;Castellar del Vallès;dones;població;;8118
1998;Castellar del Vallès;total;població;;16224
1998;Castellbell i el Vilar;homes;població;;1294
1998;Castellbell i el Vilar;dones;població;;1310
1998;Castellbell i el Vilar;total;població;;2604
1998;Castellbisbal;homes;població;;3437
1998;Castellbisbal;dones;població;;3265
1998;Castellbisbal;total;població;;6702
1998;Castellcir;homes;població;;188
1998;Castellcir;dones;població;;147
1998;Castellcir;total;població;;335
1998;Castelldans;homes;població;;472
1998;Castelldans;dones;població;;471
1998;Castelldans;total;població;;943
1998;Castelldefels;homes;població;;20529
1998;Castelldefels;dones;població;;20665
1998;Castelldefels;total;població;;41194
1998;Castellet i la Gornal;homes;població;;658
1998;Castellet i la Gornal;dones;població;;650
1998;Castellet i la Gornal;total;població;;1308
1998;Castellfollit de la Roca;homes;població;;475
1998;Castellfollit de la Roca;dones;població;;506
1998;Castellfollit de la Roca;total;població;;981
1998;Castellfollit de Riubregós;homes;població;;119
1998;Castellfollit de Riubregós;dones;població;;120
1998;Castellfollit de Riubregós;total;població;;239
1998;Castellfollit del Boix;homes;població;;178
1998;Castellfollit del Boix;dones;població;;186
1998;Castellfollit del Boix;total;població;;364
1998;Castellgalí;homes;població;;440
1998;Castellgalí;dones;població;;413
1998;Castellgalí;total;població;;853
1998;Castellnou de Bages;homes;població;;217
1998;Castellnou de Bages;dones;població;;198
1998;Castellnou de Bages;total;població;;415
1998;Castellnou de Seana;homes;població;;375
1998;Castellnou de Seana;dones;població;;351
1998;Castellnou de Seana;total;població;;726
1998;Castelló d'Empúries;homes;població;;2699
1998;Castelló d'Empúries;dones;població;;2584
1998;Castelló d'Empúries;total;població;;5283
1998;Castelló de Farfanya;homes;població;;300
1998;Castelló de Farfanya;dones;població;;292
1998;Castelló de Farfanya;total;població;;592
1998;Castellolí;homes;població;;222
1998;Castellolí;dones;població;;210
1998;Castellolí;total;població;;432
1998;Castellserà;homes;població;;548
1998;Castellserà;dones;població;;578
1998;Castellserà;total;població;;1126
1998;Castellterçol;homes;població;;977
1998;Castellterçol;dones;població;;1036
1998;Castellterçol;total;població;;2013
1998;Castellvell del Camp;homes;població;;554
1998;Castellvell del Camp;dones;població;;534
1998;Castellvell del Camp;total;població;;1088
1998;Castellví de la Marca;homes;població;;738
1998;Castellví de la Marca;dones;població;;721
1998;Castellví de la Marca;total;població;;1459
1998;Castellví de Rosanes;homes;població;;515
1998;Castellví de Rosanes;dones;població;;481
1998;Castellví de Rosanes;total;població;;996
1998;Catllar, el;homes;població;;1019
1998;Catllar, el;dones;població;;926
1998;Catllar, el;total;població;;1945
1998;Cava;homes;població;;33
1998;Cava;dones;població;;23
1998;Cava;total;població;;56
1998;Cellera de Ter, la;homes;població;;996
1998;Cellera de Ter, la;dones;població;;1023
1998;Cellera de Ter, la;total;població;;2019
1998;Celrà;homes;població;;1186
1998;Celrà;dones;població;;1264
1998;Celrà;total;població;;2450
1998;Centelles;homes;població;;2836
1998;Centelles;dones;població;;2892
1998;Centelles;total;població;;5728
1998;Cercs;homes;població;;727
1998;Cercs;dones;població;;756
1998;Cercs;total;població;;1483
1998;Cerdanyola del Vallès;homes;població;;25710
1998;Cerdanyola del Vallès;dones;població;;25595
1998;Cerdanyola del Vallès;total;població;;51305
1998;Cervelló;homes;població;;3870
1998;Cervelló;dones;població;;3812
1998;Cervelló;total;població;;7682
1998;Cervera;homes;població;;3586
1998;Cervera;dones;població;;3686
1998;Cervera;total;població;;7272
1998;Cervià de les Garrigues;homes;població;;441
1998;Cervià de les Garrigues;dones;població;;403
1998;Cervià de les Garrigues;total;població;;844
1998;Cervià de Ter;homes;població;;318
1998;Cervià de Ter;dones;població;;325
1998;Cervià de Ter;total;població;;643
1998;Cistella;homes;població;;105
1998;Cistella;dones;població;;106
1998;Cistella;total;població;;211
1998;Ciutadilla;homes;població;;117
1998;Ciutadilla;dones;població;;109
1998;Ciutadilla;total;població;;226
1998;Clariana de Cardener;homes;població;;76
1998;Clariana de Cardener;dones;població;;72
1998;Clariana de Cardener;total;població;;148
1998;Cogul, el;homes;població;;116
1998;Cogul, el;dones;població;;112
1998;Cogul, el;total;població;;228
1998;Colera;homes;població;;238
1998;Colera;dones;població;;255
1998;Colera;total;població;;493
1998;Coll de Nargó;homes;població;;328
1998;Coll de Nargó;dones;població;;286
1998;Coll de Nargó;total;població;;614
1998;Collbató;homes;població;;922
1998;Collbató;dones;població;;790
1998;Collbató;total;població;;1712
1998;Colldejou;homes;població;;105
1998;Colldejou;dones;població;;88
1998;Colldejou;total;població;;193
1998;Collsuspina;homes;població;;134
1998;Collsuspina;dones;població;;128
1998;Collsuspina;total;població;;262
1998;Colomers;homes;població;;100
1998;Colomers;dones;població;;102
1998;Colomers;total;població;;202
1998;Coma i la Pedra, la;homes;població;;144
1998;Coma i la Pedra, la;dones;població;;90
1998;Coma i la Pedra, la;total;població;;234
1998;Conca de Dalt;homes;població;;222
1998;Conca de Dalt;dones;població;;199
1998;Conca de Dalt;total;població;;421
1998;Conesa;homes;població;;56
1998;Conesa;dones;població;;51
1998;Conesa;total;població;;107
1998;Constantí;homes;població;;2672
1998;Constantí;dones;població;;2463
1998;Constantí;total;població;;5135
1998;Copons;homes;població;;130
1998;Copons;dones;població;;141
1998;Copons;total;població;;271
1998;Corbera d'Ebre;homes;població;;557
1998;Corbera d'Ebre;dones;població;;513
1998;Corbera d'Ebre;total;població;;1070
1998;Corbera de Llobregat;homes;població;;4179
1998;Corbera de Llobregat;dones;població;;4067
1998;Corbera de Llobregat;total;població;;8246
1998;Corbins;homes;població;;530
1998;Corbins;dones;població;;521
1998;Corbins;total;població;;1051
1998;Corçà;homes;població;;567
1998;Corçà;dones;població;;543
1998;Corçà;total;població;;1110
1998;Cornellà de Llobregat;homes;població;;39415
1998;Cornellà de Llobregat;dones;població;;40914
1998;Cornellà de Llobregat;total;població;;80329
1998;Cornellà del Terri;homes;població;;931
1998;Cornellà del Terri;dones;població;;931
1998;Cornellà del Terri;total;població;;1862
